Flag,CompID,IndType,FiscYear,TA,Z1,Z2,Z3,Z4,Z5,ST,year,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M-Score1,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M-Score2,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M-Score3
1,2005,10,1997,5.89E+06,0.026593,0.10428,0.12916,3.7533,0.25989,1.826652355,1997,1.697803302,0.730396526,1.175748075,1.097098624,0.90600901,0.782401868,0.980787089,0.08195271,-1.406400137,0.746100714,2.066871054,1.669022567,1.006783059,1.119218195,1.314403589,1.002929955,-0.09665468,-2.367516491,0.917226997,1.157109996,1.450176513,1.102067773,1.026858818,0.940971685,0.643701446,0.025903297,-1.949328534
1,2016,10,1997,3.86E+06,-0.044639,0.069622,0.053569,3.4476,0.61172,1.516015257,1997,1.124291994,0.679750804,1.082822053,1.249799096,1.462482902,0.798261065,1.746120296,-0.242497247,-3.569203364,1.162994648,1.655804484,1.237378657,0.966804199,0.968914775,1.030221878,0.748446295,0.013995206,-1.778521168,0.723097144,0.861040045,1.85434323,1.198788706,0.972658432,1.015731718,0.89728642,-0.060212027,-2.539642165
1,5002,10,1997,3.69E+06,0.086583,0.022822,0.040333,0.70678,0.80661,-1.219369619,1997,0.897322387,0.992346181,5.204485393,1.272515496,1.083674113,1.065341601,0.754844845,0.046908154,-0.338775944,1.330392606,1.06354792,1.044220234,1.219232443,0.843336271,0.976801149,1.034684576,0.022251132,-1.850320122,1.006245912,0.924618439,0.719856701,1.251848005,0.754588266,0.916866306,1.070788293,-0.035165197,-2.604193782
1,5017,10,1997,5.54E+06,-0.10513,0.064759,0.064034,2.9768,0.3459,1.044965761,1997,1.135934838,0.602972132,0.041291361,1.073189707,2.002696306,1.234756283,1.481567134,-0.220763506,-4.002096637,1.377182848,1.746299498,0.895910674,1.092560262,1.235960118,1.249047709,0.795272727,0.036951592,-1.474292454,0.890727793,0.803543845,1.708168458,1.394865102,0.794660484,0.848897077,1.015056746,0.044965726,-1.838092818
1,2335,13,2003,1.42E+06,-0.20485,-0.20472,-0.10289,0.60232,0.82586,-1.33543468,2003,0.633259624,7.540098139,0.517211556,1.045962045,0.971674448,0.981873316,0.960645272,-0.044826352,0.28470913,1.390762619,0.084508317,0.689351413,0.928647402,0.925174517,0.862421751,0.967713615,-0.029875962,-2.907199996,0.753971361,17.23104941,1.4694251,0.650999383,0.975596048,1.34777802,1.056393076,-0.213477583,4.66206051
1,3039,13,2003,2.06E+06,0.14955,0.056672,0.020535,0.84717,1.1748,-1.079068547,2003,1.047817609,1.078743202,1.141860566,0.937450376,0.964948603,1.014915399,0.914353412,0.021093435,-2.272807729,2.033427318,1.078048602,1.653846336,0.846033571,0.760357397,1.086620573,1.099153509,0.004734787,-1.413948108,0.616842595,1.078140471,2.462805984,1.174141903,0.460008378,0.908770222,0.899780979,-0.04900992,-2.287891761
1,5325,13,2003,1.21E+07,0.13023,-0.054296,-0.050139,0.55386,1.5695,-1.375659077,2003,1.203411109,1.758139887,1.682273421,1.097755909,0.871203317,1.017301843,1.209206153,-0.08030683,-1.991680791,0.761919697,0.796316681,0.938468106,1.048894692,0.631298455,0.955048414,0.919560956,-0.017531516,-2.878218894,0.925624068,1.342116737,0.90090417,1.145405996,1.467369266,1.036835539,1.031690714,-0.046306924,-2.457741996
1,5376,13,2003,1.29E+06,-0.11872,-0.053598,-0.0084776,0.24679,0.54894,-1.685325982,2003,0.964384724,1.345993275,0.927331044,1.153771593,0.719900373,0.968267655,1.23181965,-0.089177394,-2.742095146,1.309023739,0.879798737,2.927178962,1.055387742,0.972087581,0.873501094,1.373721833,-0.147237804,-2.223763104,0.7966865,1.188601712,1.194717881,0.731791591,1.085931961,1.518817604,0.900560039,-0.111944537,-3.298668668
1,3001,13,2002,2.35E+06,0.32139,0.087199,0.094274,1.5264,0.48905,-0.389607179,2002,1.715599462,1.008446409,3.255677695,0.851034093,1.137181995,0.837692762,0.922098408,0.058947939,-0.693788589,0.684652473,1.045982845,1.512427481,1.183034519,0.91354216,0.988494913,0.79178775,0.13262767,-1.694866791,1.263259645,1.111567386,3.486645061,1.303013722,4.079316697,1.042307045,1.219865797,-0.055639928,-0.889391434
1,5307,13,2002,1.22E+07,-0.12868,-0.10123,-0.09915,0.27373,0.44042,-1.658787515,2002,1.585060625,-5.315314073,1.266411219,0.787952023,0.852368275,1.733922079,1.332977175,-0.14918448,-6.307876682,0.971013175,2.009714128,1.019740527,0.933034313,0.975562871,0.967786395,1.293795576,-0.180399565,-2.962727284,1.187707732,0.794304598,0.542184351,1.466384529,0.986649675,1.006979342,1.324890558,-0.020687602,-2.390630819
1,2318,13,2000,5.40E+06,0.12107,-0.086035,-0.072623,0.60076,0.35719,-1.32228133,2000,1.611573064,-1.979282714,0.940978427,0.680027072,1.031672429,1.803370075,1.508924445,-0.061933297,-4.390416137,1.068598229,2.169530646,1.022319627,1.189652098,0.994894453,1.575306293,0.708615713,-0.087535306,-2.035025502,0.904227621,1.175537961,0.477854966,0.929019712,1.137005227,1.122726075,1.047502289,-0.111914817,-3.294223515
1,2326,13,2000,8.44E+06,0.041444,-0.2996,-0.011008,0.43653,0.58408,-1.49014626,2000,0.801155519,3.010723067,0.830542378,0.79595424,1.763657538,1.114596832,0.926613693,0.13191892,-1.142388929,1.140807511,0.977828356,0.969589781,0.785102899,0.706703583,0.513979312,1.17654373,-0.03628773,-2.743791279,0.688251801,2.166235229,1.503099146,0.630515916,0.942193418,3.714785713,1.41179104,-0.361075656,-4.575083455
1,2435,13,2000,4.81E+06,-0.038181,0.072321,0.059746,0.46475,0.71144,-1.465054856,2000,0.862246639,1.079889765,1.390684283,1.24671156,0.889694214,1.140630311,1.052226161,0.002374064,-2.229491425,0.837400128,1.274081798,1.321984721,1.414786157,1.268542212,0.882843618,0.947499633,-0.089310792,-2.334489939,1.271917245,1.195353989,2.047259383,1.160137548,1.169019469,0.855218925,1.093855421,-0.098233141,-2.006737751
1,5336,13,2000,3.56E+06,-0.14393,-0.033089,-0.023819,0.71793,0.43875,-1.214899415,2000,0.786952226,0.196409681,1.401309207,1.075680516,0.904561413,1.115297055,1.538311803,-0.236967673,-4.186269935,0.89021087,40.72480084,1.409001273,1.197684118,0.913258353,0.57116487,0.862669033,-0.172459953,18.03701105,0.92166091,2.285296735,1.003491572,0.975331867,1.052154557,1.020520832,0.986731595,0.000212509,-1.886227377
1,5385,13,2000,2.72E+06,0.16226,0.016661,0.034858,0.72016,0.40915,-1.201005092,2000,1.076024803,0.939224519,1.167232794,1.339088575,1.092577438,1.09622062,0.986468642,-0.037120993,-2.247285489,0.825461943,1.264097779,0.846013269,1.685295675,4.223625837,0.690607515,0.71958389,0.028428001,-1.303415117,1.262984998,1.049333491,2.981914016,1.201940474,0.633924358,0.955419836,1.613738517,-0.032219546,-1.617060214
1,2019,10,1999,1.26E+07,-0.0083182,-0.041659,-0.0080387,1.7195,0.41466,-0.208870041,1999,0.942351171,0.713775505,0.909995405,0.916536448,0.828549549,1.112457618,1.08469423,-0.071699406,-3.197210845,1.267447769,1.284006527,1.288510432,1.129090922,1.048024469,1.165328158,1.098925698,-0.048285736,-2.133476582,1.106374729,-0.296952019,2.047724893,1.023626304,1.79320891,0.683459614,0.598394299,-0.020060094,-2.439442538
1,2028,10,1999,1.09E+07,0.10155,-0.063445,-0.050205,0.37175,0.413,-1.551999635,1999,0.987524843,4.30209224,0.612016962,1.017592655,0.960690146,1.656783857,1.022745652,-0.08061733,-1.391158711,0.748236315,1.314758158,2.773731702,0.863372562,0.965591523,1.041109575,1.138804725,-0.010355867,-2.055586418,2.763646699,0.945494578,1.58768592,1.006724581,0.785858075,1.208299491,0.860771084,0.121293875,-0.090192399
1,5008,10,1999,1.60E+07,-0.0030143,0.037312,0.049208,0.2589,0.50347,-1.668363648,1999,1.056817827,1.063972434,1.687000584,1.036244732,1.077090357,1.00052767,1.171731572,-0.036983219,-2.304497692,1.34926699,0.931615276,2.050472326,1.04191199,1.264472232,1.111639413,0.662655102,0.018591969,-1.524489259,1.011138303,0.889337892,0.850695846,0.952411908,1.076782008,0.898136822,1.020766425,-0.038745568,-2.792680545
1,2007,10,2000,2.10E+07,-0.24182,0.0019948,0.040681,0.057645,0.68432,-1.87922159,2000,0.667142034,0.972744864,2.783437012,1.145924403,0.845721592,0.907687308,0.840472495,-0.218873581,-2.923755146,0.864014151,1.044144872,0.904306026,1.178765359,0.840573886,1.122376695,1.368996207,-0.028710177,-2.755379625,0.852202096,0.477438206,0.915210717,0.969575007,1.100046845,1.219621696,0.955023328,-0.006774857,-2.996542393
1,2014,10,2000,2.99E+07,0.075429,-0.06118,-0.015971,0.14293,0.67946,-1.782898997,2000,0.912132242,7.858696458,1.145223646,1.179455656,0.960159167,0.752592711,0.912476955,-0.067618559,1.029503347,1.333960135,0.171026298,0.774672112,1.092842526,0.749637008,1.383461444,0.854401768,0.042789748,-2.465594985,0.453609908,4.141161978,0.931071609,1.540424489,0.701605609,0.787569088,1.590974135,-0.106561158,-1.559559226
1,2023,10,2000,2.09E+07,-0.0006351,0.067269,0.066658,0.44214,1.263,-1.489427611,2000,0.855382906,1.499097464,1.347705498,1.484508283,1.015203072,0.806243301,1.064318561,-0.072061703,-2.100004226,0.832406284,1.064098194,1.016554799,1.080519903,1.103751273,1.12610485,0.978498404,-0.139324679,-3.176458269,1.069326097,1.133833602,0.897390804,1.436163543,0.812330279,0.91337228,1.234261855,0.089413958,-1.662869849
